date,求和项:low,求和项:volume
2002/7/9,5.709,3523.23
2002/7/10,5.649,4622.79
2002/7/11,5.646,2357.61
2002/7/12,5.672,1588.49
2002/7/15,5.688,1308.58
2002/7/16,5.653,2316.49
2002/7/17,5.649,1342.19
2002/7/18,5.704,5893.89
2002/7/19,5.745,2516.89
2002/7/22,5.756,6103.57
2002/7/23,5.706,2901.58
2002/7/24,5.72,4663.87
2002/7/25,5.69,1700.42
2002/7/26,5.683,1558.24
2002/7/29,5.596,2557.48
2002/7/30,5.578,3445.96
2002/7/31,5.537,2579.85
2002/8/1,5.52,2000.89
2002/8/2,5.502,1253.88
2002/8/5,5.537,1078.12
2002/8/6,5.532,2092.37
2002/8/7,5.555,1355.79
2002/8/8,5.529,1264.6
2002/8/9,5.482,2490.2
2002/8/12,5.422,2250.5
2002/8/13,5.387,1704.13
2002/8/14,5.422,2472.46
2002/8/15,5.449,1259.55
2002/8/16,5.369,2240.98
2002/8/19,5.424,1108.96
2002/8/20,5.42,2372.11
2002/8/21,5.452,1694.51
2002/8/22,5.475,4220.34
2002/8/23,5.52,2431.41
2002/8/26,5.438,2631.49
2002/8/27,5.422,2584.41
2002/8/28,5.405,3765.82
2002/8/29,5.396,2899.37
2002/8/30,5.39,1886.68
2002/9/2,5.378,2341.3
2002/9/3,5.387,2277.01
2002/9/4,5.39,1788.69
2002/9/5,5.369,2893.69
2002/9/6,5.351,1859.62
2002/9/9,5.319,2613.9
2002/9/10,5.224,8057.12
2002/9/11,5.068,9845.29
2002/9/12,5.098,1716.59
2002/9/13,5.125,1071.73
2002/9/16,5.084,3923.51
2002/9/17,5.071,2613.49
2002/9/18,5.091,1616.06
2002/9/19,5.063,3650.15
2002/9/20,5.08,1372.98
2002/9/23,5.032,2121.1
2002/9/24,4.944,7148.54
2002/9/25,4.958,3557.09
2002/9/26,4.963,2168.07
2002/9/27,4.958,1505.45
2002/10/8,4.949,3589.77
2002/10/9,4.887,2458.71
2002/10/10,4.9,1087.67
2002/10/11,4.873,1217.05
2002/10/14,4.876,1095.29
2002/10/15,4.882,2065.94
2002/10/16,4.921,2261.33
2002/10/17,4.873,1564.8
2002/10/18,4.705,4635.33
2002/10/21,4.705,1646.05
2002/10/22,4.767,2105.71
2002/10/23,4.79,1080.78
2002/10/24,4.802,970.6
2002/10/25,4.713,2368.12
2002/10/28,4.589,4471.53
2002/10/29,4.538,3198.69
2002/10/30,4.6,2035.57
2002/10/31,4.607,2817.3
2002/11/1,4.6,1471.19
2002/11/4,4.646,1995.03
